기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수
2021,4,A,골목상권,2110380,강북문화정보도서관,95,1,1,NA,NA,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47
2021,4,A,골목상권,2110381,번동주공2단지,77,2,1,NA,NA,8,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
2021,4,A,골목상권,2110382,솔밭공원역 1번,79,3,NA,NA,1,7,1,1,1,NA,14,NA,NA,NA,NA,NA,NA,NA,1,27
2021,4,A,골목상권,2110383,덕성여대시반거리,49,3,1,NA,NA,2,1,1,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,1,10
2021,4,A,골목상권,2110384,문이교,62,1,NA,NA,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,30
2021,4,A,골목상권,2110385,효문고등학교,64,3,NA,NA,NA,3,2,1,NA,1,14,NA,NA,NA,NA,NA,NA,NA,NA,25
2021,4,A,골목상권,2110386,연산군묘,18,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
2021,4,A,골목상권,2110387,쌍문초등학교,95,7,NA,NA,NA,1,NA,3,1,3,17,NA,NA,NA,NA,NA,NA,NA,NA,43
2021,4,A,골목상권,2110388,도봉우체국,64,6,1,1,NA,8,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
2021,4,A,골목상권,2110389,한일병원,54,5,1,1,1,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
2021,4,A,골목상권,2110390,방학초등학교,103,3,4,NA,NA,11,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37
2021,4,A,골목상권,2110391,샘말어린이공원,32,3,NA,NA,NA,2,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,14
2021,4,A,골목상권,2110392,발바닥공원,37,1,NA,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
2021,4,A,골목상권,2110393,국민은행방학지점,64,2,3,NA,NA,5,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
2021,4,A,골목상권,2110394,방학중학교,84,3,1,NA,NA,14,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
2021,4,A,골목상권,2110395,신한은행 방학동지점,73,2,2,NA,NA,11,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
2021,4,A,골목상권,2110396,쌍문역1번(쌍리단길),98,2,5,NA,1,16,NA,NA,2,1,NA,NA,NA,NA,1,NA,NA,NA,1,19
2021,4,A,골목상권,2110397,도봉산입구,86,5,1,NA,NA,7,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,3,29
2021,4,A,골목상권,2110398,쌍문2동우체국,101,6,3,NA,1,11,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,32
2021,4,A,골목상권,2110399,창2동주민센터,103,4,NA,NA,NA,11,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,47
2021,4,A,골목상권,2110400,도봉구보건소,93,3,3,NA,4,12,2,2,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,28
2021,4,A,골목상권,2110401,도봉구민회관,73,5,3,NA,2,9,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
2021,4,A,골목상권,2110402,도봉구 정병원,95,6,3,NA,3,10,1,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,29
2021,4,A,골목상권,2110403,방학1동주민센터,106,5,4,NA,3,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,28
2021,4,A,골목상권,2110404,신창초등학교,145,6,NA,NA,NA,16,4,4,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,77
2021,4,A,골목상권,2110405,방학역 1번,108,4,3,NA,2,14,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,31
2021,4,A,골목상권,2110406,도봉산역 1번,49,1,NA,NA,NA,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,10
2021,4,A,골목상권,2110407,도봉역 2번,124,8,3,NA,1,11,1,2,2,NA,1,NA,1,NA,NA,NA,NA,NA,2,51
2021,4,A,골목상권,2110408,가인초등학교,69,4,3,NA,4,8,1,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,19
2021,4,A,골목상권,2110409,창동역 2번,102,7,3,NA,2,12,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,24
2021,4,A,골목상권,2110410,방학역 2번,138,5,5,NA,2,19,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,1,35
2021,4,A,골목상권,2110411,도봉역 3번,99,8,3,NA,NA,7,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,49
2021,4,A,골목상권,2110412,창동중학교,35,1,NA,NA,NA,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
2021,4,A,골목상권,2110413,누원고등학교,61,3,2,NA,NA,6,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
2021,4,A,골목상권,2110414,장석교회,72,2,1,NA,NA,3,NA,1,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,42
